Date : 2024-08-18 15:55:46
Directory : /Volumes/Productivity/Programming/Flutter/walley
Total : 81 files,  4447 codes, 451 comments, 453 blanks, all 5351 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| Dart       |         29 |      2,869 |        158 |        174 |      3,201 |
| C++        |         16 |        562 |        127 |        188 |        877 |
| XML        |         14 |        474 |         53 |         12 |        539 |
| JSON       |          6 |        278 |          0 |          4 |        282 |
| Groovy     |          3 |         83 |         10 |         17 |        110 |
| YAML       |          2 |         79 |         81 |         22 |        182 |
| Swift      |          6 |         62 |          7 |         20 |         89 |
| HTML       |          1 |         19 |         15 |          5 |         39 |
| Markdown   |          2 |         13 |          0 |          9 |         22 |
| Properties |          2 |          8 |          0 |          2 |         10 |
+------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                           | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                              |         81 |      4,447 |        451 |        453 |      5,351 |
| . (Files)                                                                                                      |          4 |         90 |         81 |         29 |        200 |
| android                                                                                                        |         13 |        186 |         61 |         28 |        275 |
| android (Files)                                                                                                |          3 |         41 |          2 |          9 |         52 |
| android/app                                                                                                    |          9 |        140 |         59 |         18 |        217 |
| android/app (Files)                                                                                            |          2 |         74 |          8 |          9 |         91 |
| android/app/src                                                                                                |          7 |         66 |         51 |          9 |        126 |
| android/app/src/debug                                                                                          |          1 |          3 |          4 |          1 |          8 |
| android/app/src/main                                                                                           |          5 |         60 |         43 |          7 |        110 |
| android/app/src/main (Files)                                                                                   |          1 |         34 |         11 |          1 |         46 |
| android/app/src/main/res                                                                                       |          4 |         26 |         32 |          6 |         64 |
| android/app/src/main/res/drawable                                                                              |          1 |          4 |          7 |          2 |         13 |
| android/app/src/main/res/drawable-v21                                                                          |          1 |          4 |          7 |          2 |         13 |
| android/app/src/main/res/values                                                                                |          1 |          9 |          9 |          1 |         19 |
| android/app/src/main/res/values-night                                                                          |          1 |          9 |          9 |          1 |         19 |
| android/app/src/profile                                                                                        |          1 |          3 |          4 |          1 |          8 |
| android/gradle                                                                                                 |          1 |          5 |          0 |          1 |          6 |
| android/gradle/wrapper                                                                                         |          1 |          5 |          0 |          1 |          6 |
| assets                                                                                                         |          4 |          4 |          0 |          0 |          4 |
| ios                                                                                                            |          8 |        229 |          4 |         13 |        246 |
| ios/Runner                                                                                                     |          7 |        222 |          2 |          9 |        233 |
| ios/Runner (Files)                                                                                             |          2 |         13 |          0 |          3 |         16 |
| ios/Runner/Assets.xcassets                                                                                     |          3 |        148 |          0 |          4 |        152 |
| ios/Runner/Assets.xcassets/AppIcon.appiconset                                                                  |          1 |        122 |          0 |          1 |        123 |
| ios/Runner/Assets.xcassets/LaunchImage.imageset                                                                |          2 |         26 |          0 |          3 |         29 |
| ios/Runner/Base.lproj                                                                                          |          2 |         61 |          2 |          2 |         65 |
| ios/RunnerTests                                                                                                |          1 |          7 |          2 |          4 |         13 |
